LINA:lina_po_contraintes_immeubles;[(fill, #FF5D00), (stroke, #000000), (stroke-width, 1)];Immeubles classés ou inscrits (ICI);Contraintes;Périmètres patrimoniaux;Lyon
LINA:lina_po_contraintes_patrimoine_remarquable;[(fill, #f1a781)];Sites patrimoniaux remarquables (SPR);Contraintes;Périmètres patrimoniaux;Lyon
LINA:lina_po_contraintes_protection_monument;[(fill, #e9dc1d)];Périmètres de protection autour des monuments historiques (PPMH);Contraintes;Périmètres patrimoniaux;Lyon
LINA:lina_po_risques_pprt_danger;[(fill, #67000d)];Zones des PPR Technologiques  (danger);Risques naturels et technologiques;PPR Technologiques;Lyon
LINA:lina_po_contraintes_zone_prevention;[(fill, #c9cc6d), (stroke, #000000), (stroke-width, 1)];Zones de prévention ;Prescriptions;Périmètres de risques de mouvements de terrain;Lyon
LINA:lina_li_ligne_implantation_plu;[(stroke, #6f3938), (stroke-width, 2)];Ligne d'implantation;Prescriptions;Prescriptions (PLU du Grand Lyon);Lyon
LINA:lina_po_contraintes_plantation_sur_domaine_public;[(fill, #93b646)];Espace végétalisé à mettre en valeur;Prescriptions;Patrimoine végétal et bâti;Lyon
LINA:lina_po_risques_pprt_precaution;[(fill, #08306b)];Zones des PPR Technologiques (précaution);Risques naturels et technologiques;PPR Technologiques;Lyon
LINA:lina_li_continuite_plu;[(stroke, #2a30d4), (stroke-width, 2)];Obligation de continuité;Prescriptions;Prescriptions (PLU du Grand Lyon);Lyon
LINA:lina_li_discontinuite_plu;[(stroke, #ff23c8), (stroke-width, 2)];Obligation de discontinuité;Prescriptions;Prescriptions (PLU du Grand Lyon);Lyon
LINA:lina_po_contraintes_emprise_localisation_pref_equipement;[(fill, #b52e0f)];Emprise de localisation preferentielle pour equipement;prescriptions;Servitudes L123-2;Lyon
LINA:lina_po_contraintes_perimetre_delimite_des_abords;[(fill, #6a3d9a)];Périmètres délimités des abords (PDA);Contraintes;Périmètres patrimoniaux;Lyon
LINA:lina_li_cheminement_a_preserver;[(stroke, #c40a16), (stroke-width, 2)];Cheminements à preserver;Prescriptions;Amenagements;Lyon
LINA:lina_li_lineaire_toutes_activites_artisanal_commercial;[(stroke, #498d7a), (stroke-width, 2)];Linéaire toutes activités, linéaire artisanal et commercial;prescriptions;Activités économiques;Lyon
LINA:lina_po_contraintes_reservation_programme_logement;[(fill, #c5a894), (stroke, #000000), (stroke-width, 1)];Réservation pour programme de logements;Prescriptions;Logements;Lyon
LINA:lina_po_contraintes_prescription_archeo;[(fill, #a08949)];Zones de presomption de prescription archeologique (ZPPA);Contraintes;Périmètres patrimoniaux;Lyon
LINA:lina_po_contraintes_richesse_sol_sous_sol;[(fill, #9b2e07), (stroke, #329b3a), (stroke-width, 2), (stroke-dasharray, 2 2)];Richesse du sol et sous sol;Prescriptions;Activités économiques;Lyon
LINA:lina_po_contraintes_zone_vigilence;[(fill, #cf7b80)];Zones de vigilence;Prescriptions;Périmètres de risques de mouvements de terrain;Lyon
LINA:lina_po_contraintes_polygones_implantations_batiments;[(fill, #cb181d)];Polygones d'implantations de bâtiments;Prescriptions;Prescriptions (PLU du Grand Lyon);Lyon
LINA:lina_xy_debouche_pietonnier;[(fill, #864e69)];Débouché pietonnier;Prescriptions;Amenagements;Lyon
LINA:lina_xy_debouche_voirie;[(fill, #3e1eb1)];Débouché de voirie;Prescriptions;Amenagements;Lyon
LINA:lina_po_contraintes_orientation_amenagement;[(fill, #ae4e6b), (stroke, #000000), (stroke-width, 1)];Orientations d'aménagement;Prescriptions;Orientations d'aménagement;Lyon
LINA:lina_po_contraintes_perimetre_attente_projet;[(fill, #ff0b50)];Périmètres d'attente de projets;Prescriptions;Servitudes L123-2;Lyon
LINA:lina_po_contraintes_bati_a_preserver;[(fill, #7e2181)];Bâtis à préserver;prescriptions;Patrimoine végétal et bâti;Lyon
LINA:lina_li_hauteur_voie_plu;[(stroke, #505050), (stroke-width, 4), (stroke, #89725B), (stroke-width, 3.6)];Hauteur sur voie ;Prescriptions;Prescriptions (PLU du Grand Lyon);Lyon
